park_name,park_id,site_area,closure_notes,weekend_status,last_updated
Oak Meadows Park,228,C,,User discretion,Oct  3 2014
Oak Park,126,W,,User discretion,Oct  3 2014
Oak Park,126,E,,User discretion,Oct  3 2014
Oak Park,126,AWF,,User discretion,Oct  3 2014
Point Grey,221,AT,Artificial Turf Field,User discretion,Oct  3 2014
Prince Edward Park,166,C,Summer Field,User discretion,Oct  3 2014
Prince of Wales Park,3,C,Summer Field,Closed,Oct  3 2014
Quilchena Park,6,SE,,User discretion,Oct  3 2014
Quilchena Park,6,NW,,User discretion,Oct  3 2014
Renfrew Community Park,159,C,,User discretion,Oct  3 2014
Riley Park,168,C,,User discretion,Oct  3 2014
Riverfront Park,197,C,,User discretion,Oct  3 2014
Robson Park,140,C,Summer Field,User discretion,Oct  3 2014
Ross Park,188,C,,User discretion,Oct  3 2014
Rupert Park,76,S,,User discretion,Oct  3 2014
Rupert Park,76,C,,User discretion,Oct  3 2014
Shannon Park,128,C,,User discretion,Oct  3 2014
Slocan Park,161,SW,,User discretion,Oct  3 2014
Slocan Park,161,C,,Closed,Oct  3 2014
Sparwood Park,105,C,,User discretion,Oct  3 2014
Strathcona Park,181,AWF,Closed due to Maintenace,Closed,Oct  3 2014
Strathcona Park,181,EC,,User discretion,Oct  3 2014
Strathcona Park,181,W,,User discretion,Oct  3 2014
Strathcona Park,181,Oval,Summer Field,User discretion,Oct  3 2014
Sunrise Park,77,C,,User discretion,Oct  3 2014
Sunset Henderson,189,C,,User discretion,Oct  3 2014
Templeton Park,60,S,,User discretion,Oct  3 2014
Templeton Park,60,N,,User discretion,Oct  3 2014
Tisdall Park,147,N,,User discretion,Oct  3 2014
Tisdall Park,147,C,,User discretion,Oct  3 2014
Tisdall Park,147,S,,User discretion,Oct  3 2014
Trafalgar Park,8,E,,User discretion,Oct  3 2014
Trafalgar Park,8,S,,User discretion,Oct  3 2014
Trafalgar Park,8,NW,,User discretion,Oct  3 2014
Trillium Park Site,245,West,Artificial Turf Field,User discretion,Oct  3 2014
Trillium Park Site,245,East,Artificial Turf Field,User discretion,Oct  3 2014
Van Tech,85,AT,Artificial Turf Field,User discretion,Oct  3 2014
West Point Grey Park,221,S,,User discretion,Oct  3 2014
West Point Grey Park,221,N,,User discretion,Oct  3 2014
Winona Park,131,C,,User discretion,Oct  3 2014
Winona Park,131,S,,User discretion,Oct  3 2014
Winona Park,131,N,,User discretion,Oct  3 2014
Woodland Park,64,S,,User discretion,Oct  3 2014
Woodland Park,64,N,,User discretion,Oct  3 2014
