A,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City),CMA of Vancouver
        Mi'kmaq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Ojibway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
        Oji-Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Stoney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Selected non-Aboriginal languages,5820,11710,3450,3045,4200,12365,17655,4075,10670,3045,9145,3420,5640,22440,4640,2010,1375,3785,16920,14765,6785,1925,168775,579845
"        African languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,5,160
        Afrikaans,0,20,10,5,0,5,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,5,60,515
        Akan (Twi),0,0,0,0,5,5,5,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,20,110
        Albanian,0,5,5,25,0,5,0,0,5,0,5,0,0,5,0,0,0,0,0,0,5,0,50,505
        Amharic,0,10,0,5,5,5,10,0,20,0,5,10,0,5,0,0,0,5,10,20,20,0,130,500
        Arabic,5,715,5,55,30,30,40,0,65,20,50,45,30,60,5,10,10,0,55,40,395,10,1660,6500
        Armenian,5,10,5,0,0,5,5,0,0,10,10,0,5,5,15,0,0,0,5,0,5,0,90,435
"        Bantu languages, n.i.e.",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,95
        Bengali,0,15,5,5,5,15,35,0,20,5,25,75,15,50,10,0,0,10,195,60,10,5,560,1310
        Berber languages (Kabyle),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Bisayan languages,0,0,0,0,10,20,65,0,35,0,20,25,5,70,10,0,0,0,30,35,5,0,340,1095
        Bosnian,10,20,0,10,5,5,5,0,10,5,10,0,5,15,0,0,0,0,0,0,15,5,115,635
        Bulgarian,0,70,0,30,5,5,5,0,5,15,15,15,10,5,0,0,0,0,0,5,45,0,220,985
        Burmese,0,0,0,0,5,20,65,0,15,0,0,20,0,55,0,0,0,0,45,0,0,0,230,560
        Cantonese,1105,1285,680,430,1285,5630,6555,935,3930,265,2500,550,1685,8285,1520,380,330,1790,2870,6750,210,235,49175,100685
"        Chinese, n.o.s.",1460,1410,900,390,775,2740,3255,1020,2065,365,2175,370,1430,4280,865,525,265,970,1535,3105,350,430,30655,76280
        Creoles,0,5,0,5,5,0,5,0,0,5,0,0,0,5,0,0,0,0,10,0,0,0,45,270
        Croatian,5,50,10,25,30,60,25,5,20,15,10,10,20,80,5,5,5,15,5,40,40,5,475,2040
        Czech,5,15,0,25,5,0,0,5,5,15,10,15,5,0,0,0,0,0,0,10,60,0,190,1015
        Danish,0,0,0,10,0,0,5,0,5,25,0,0,0,0,0,0,0,5,0,5,0,0,55,185
        Dutch,5,30,5,10,0,0,5,0,0,15,5,0,5,5,10,0,0,0,5,0,25,10,135,725
        Estonian,5,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,5,20,100
        Finnish,0,5,5,5,0,10,5,0,20,15,5,0,0,5,0,0,0,0,0,10,10,5,100,450
        Flemish,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
        Fukien,0,5,5,0,5,10,25,15,15,0,20,5,5,25,10,0,10,5,5,0,0,0,170,675
        German,25,120,70,65,35,10,55,25,30,135,20,35,10,40,30,5,25,10,140,40,135,40,1100,3485
        Greek,135,15,50,35,25,25,55,20,35,295,15,25,10,55,65,10,15,0,25,15,15,25,955,1755
        Gujarati,0,30,0,20,0,20,40,0,60,5,10,10,0,80,10,0,5,0,125,15,30,5,485,2910
        Hakka,0,0,0,0,5,15,15,0,5,0,0,0,0,50,5,0,0,0,15,0,0,0,115,310
        Hebrew,10,50,20,25,5,5,0,25,0,30,45,10,20,5,35,10,25,0,5,0,20,10,350,715
        Hindi,10,35,15,5,15,70,295,5,95,10,20,25,15,420,85,0,5,5,485,230,60,5,1915,11690
        Hungarian,0,25,15,15,10,5,10,5,25,35,35,5,10,30,15,0,5,5,15,15,40,5,335,1780
        Ilocano,0,5,0,0,15,25,110,0,20,5,35,40,0,120,30,0,0,0,105,15,0,0,530,1085
"        Indo-Iranian languages, n.i.e.",0,0,0,0,5,0,0,0,10,0,0,0,0,5,0,0,0,0,5,0,5,0,20,145
        Italian,15,40,10,25,270,705,225,5,60,45,20,15,5,340,40,5,5,10,30,110,45,10,2040,4570
        Japanese,100,560,85,235,65,125,125,75,110,190,205,115,75,280,65,40,50,10,85,75,830,60,3560,8105
        Khmer (Cambodian),0,0,0,5,10,10,45,0,0,0,0,10,0,30,10,0,0,0,25,25,0,0,170,580
        Korean,390,1370,160,160,85,35,130,255,395,160,190,215,245,320,35,40,65,10,85,65,955,110,5450,34850
        Kurdish,0,15,5,0,10,20,20,0,45,5,5,10,0,25,0,0,5,15,15,20,5,0,215,920
        Lao,0,5,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,30,420
        Latvian,0,5,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,10,0,35,80
        Lingala,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10
        Lithuanian,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,50
        Macedonian,0,10,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,5,0,35,110
        Malay,15,50,0,5,10,5,10,0,25,10,20,5,35,115,0,5,20,5,5,15,30,0,395,1265
        Malayalam,0,0,0,5,0,0,15,0,25,5,0,0,0,20,0,0,0,0,115,15,0,5,205,610
        Maltese,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
        Mandarin,2095,1180,1040,405,220,480,845,1385,1100,450,2180,160,1475,1750,495,725,295,365,575,785,410,625,19035,75385
        Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,5,10,0,30,210
        Nepali,0,0,0,0,0,0,25,0,5,5,5,5,0,0,0,0,5,0,25,0,0,0,80,460
"        Niger-Congo languages, n.i.e.",0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,20,115
        Norwegian,0,0,10,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,30,80
        Oromo,0,0,0,0,5,0,0,0,10,0,5,0,0,0,0,0,0,10,0,10,0,0,45,140
        Panjabi (Punjabi),10,35,20,10,20,110,765,50,480,25,95,35,125,845,140,25,15,25,6555,1115,5,10,10500,103895
        Pashto,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,70,0,5,0,90,540
        Persian (Farsi),75,1885,35,155,25,85,40,40,70,135,105,35,40,55,25,30,30,15,70,40,770,115,3875,23890
        Polish,10,125,10,55,70,10,85,10,125,25,30,50,15,45,25,0,15,5,25,15,90,15,860,5185
        Portuguese,25,180,20,35,70,75,285,10,55,30,15,25,10,360,40,0,10,5,60,60,175,10,1545,3435
        Romanian,15,55,0,40,10,0,20,0,35,20,45,10,15,5,10,5,5,0,5,0,135,0,450,3575
        Rundi (Kirundi),0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,5,0,0,0,25,65
        Russian,40,555,30,110,35,25,35,15,120,150,205,70,65,75,30,10,25,10,35,15,400,40,2090,10050
        Rwanda (Kinyarwanda),0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,20
"        Semitic languages, n.i.e.",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,455
        Serbian,15,455,20,140,20,25,20,20,55,95,50,35,5,70,15,5,10,5,0,10,250,5,1325,3755
        Serbo-Croatian,5,85,0,35,5,0,0,0,5,5,10,0,0,10,0,0,0,0,5,0,55,0,235,560
        Shanghainese,5,10,0,10,5,10,5,0,35,5,25,5,10,40,0,5,0,5,20,0,10,0,195,545
"        Sign languages, n.i.e.",5,5,0,5,5,0,10,0,10,0,5,5,0,10,5,0,0,5,10,5,0,0,95,475
        Sindhi,0,20,0,15,0,0,0,0,10,5,0,0,0,0,0,5,0,0,10,0,10,0,75,660
        Sinhala (Sinhalese),0,0,0,0,0,5,15,0,0,0,5,5,0,10,5,0,0,0,15,0,0,0,65,530
"        Sino-Tibetan languages, n.i.e.",0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,45,615
"        Slavic languages, n.i.e.",0,5,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,20,60
        Slovak,0,35,5,10,5,5,5,0,5,15,5,5,0,0,0,0,5,5,0,0,35,0,130,885
        Slovenian,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,15,65
        Somali,0,5,0,0,10,5,25,0,5,0,0,5,0,15,0,0,0,0,5,5,0,0,70,605
        Spanish,70,685,50,225,335,375,375,25,365,275,100,230,45,475,80,35,65,85,405,250,660,60,5240,17105
        Swahili,0,10,0,0,10,5,0,0,0,0,5,0,0,0,0,0,5,10,10,0,0,0,50,195
        Swedish,0,25,10,10,0,5,0,5,5,5,0,5,0,0,5,15,0,5,5,0,15,0,115,255
"        Tagalog (Pilipino, Filipino)",35,90,25,60,205,395,1695,25,435,15,475,655,60,2000,515,10,15,10,1680,840,105,10,9345,26830
        Taiwanese,55,40,75,25,0,30,5,55,40,5,110,0,90,20,40,70,20,0,20,15,15,30,765,2820
        Tamil,5,5,0,0,20,0,170,0,40,0,30,30,5,110,80,5,5,0,430,75,15,0,1035,1880
        Telugu,0,0,5,0,0,0,0,0,0,0,5,5,0,10,5,0,0,0,10,0,5,0,45,250
        Thai,5,45,10,5,15,5,5,0,0,10,15,20,5,30,15,10,0,0,10,15,50,5,270,655
        Tibetan languages,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,10,0,5,0,20,85
        Tigrigna,0,5,0,0,0,0,0,0,0,0,5,15,0,15,0,0,0,5,10,0,0,0,65,260
        Turkish,15,95,10,15,5,10,0,5,35,25,5,0,0,10,5,0,5,0,10,0,110,10,370,1245
        Ukrainian,0,10,0,15,0,0,5,5,10,5,15,5,5,10,15,0,5,5,0,0,20,5,140,705
        Urdu,5,30,0,5,20,30,20,0,10,5,10,5,5,25,0,0,0,0,195,30,5,0,400,5045
        Vietnamese,10,50,10,10,330,1010,1850,10,425,10,65,315,30,1515,200,10,10,285,570,725,30,10,7480,14925
        Yiddish,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,10
      Other languages,10,65,5,25,40,25,75,5,35,15,25,30,5,75,20,0,5,20,80,70,75,5,690,2215
  Multiple responses,725,2095,650,845,980,2410,3820,615,2220,860,1720,1175,850,5255,1240,325,260,370,4280,2855,1495,330,35375,133430
    English and French,10,95,30,60,45,30,60,10,35,85,35,55,15,45,35,20,10,20,25,25,115,15,885,2620
    English and non-official language,695,1935,605,750,905,2330,3700,595,2150,735,1650,1090,820,5165,1185,305,245,340,4210,2775,1310,300,33780,128365
    French and non-official language,5,20,10,10,10,15,15,5,20,5,10,20,5,20,5,5,0,5,15,15,45,10,255,730
"    English, French and non-official language",10,45,5,35,20,30,40,10,30,35,20,15,15,25,15,0,5,5,25,40,30,10,450,1720
  Detailed language spoken most often at home - Males excluding institutional residents,7130,28620,10490,13660,13260,16535,23090,6885,13305,19240,11405,12810,5700,24520,10385,4070,3500,6010,17770,14520,23255,6095,291505,1121310
    Single responses,6830,27595,10205,13305,12785,15410,21260,6600,12255,18855,10650,12275,5330,22040,9815,3925,3385,5810,15710,13150,22530,5950,274905,1057340
      English,4135,21760,8560,11890,10750,9565,12965,4725,7295,17310,6330,10670,2765,11545,7705,2950,2755,4020,7565,6260,18970,5015,194815,778030
      French,35,240,40,125,95,60,95,35,35,200,30,110,15,55,55,15,20,45,40,15,300,65,1730,4025
      Non-official languages,2655,5595,1605,1290,1940,5780,8195,1845,4930,1345,4285,1495,2555,10440,2055,955,605,1735,8110,6875,3255,865,78360,275290
        Selected Aboriginal languages,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,25
          Atikamekw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Cree, n.o.s.",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25
          Dene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
          Innu/Montagnais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Inuktitut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Mi'kmaq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Ojibway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
          Oji-Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Stoney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Selected non-Aboriginal languages,2650,5560,1600,1275,1910,5765,8155,1840,4915,1335,4280,1480,2555,10395,2040,960,605,1725,8070,6845,3210,860,77980,274145
"          African languages, n.i.e.",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,70
          Afrikaans,0,10,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,35,255
          Akan (Twi),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,50
          Albanian,0,5,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25,245
          Amharic,0,5,0,5,0,0,5,0,10,5,5,10,0,5,0,0,0,5,5,5,10,0,60,220
          Arabic,0,415,0,30,20,15,20,0,20,10,25,25,15,35,0,10,5,0,30,20,255,5,955,3415
          Armenian,5,0,0,0,0,5,5,0,0,5,5,0,0,0,10,0,0,0,0,0,5,0,50,225
"          Bantu languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,40
          Bengali,0,10,5,0,5,10,15,0,15,0,10,35,10,25,10,0,0,5,100,30,5,0,280,645
          Berber languages (Kabyle),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Bisayan languages,0,0,0,0,5,10,25,0,15,0,5,10,0,35,5,0,0,0,15,10,0,0,135,465
          Bosnian,5,10,0,5,0,5,5,0,5,5,5,0,0,10,0,0,0,0,0,0,10,0,60,330
          Bulgarian,0,30,0,10,0,0,0,0,0,5,5,10,5,5,0,0,0,0,0,0,20,5,95,475
          Burmese,0,0,0,0,0,10,30,0,5,0,0,10,0,30,0,0,0,5,30,0,0,0,125,305
          Cantonese,490,575,310,150,575,2625,3000,420,1795,110,1140,240,750,3840,660,165,140,785,1340,3125,80,100,22410,46200
"          Chinese, n.o.s.",645,640,415,150,355,1310,1510,455,965,145,1020,165,645,1990,390,245,115,435,720,1420,140,200,14075,35345
          Creoles,0,5,0,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,20,125
          Croatian,5,25,5,10,15,25,15,0,5,5,5,5,10,35,0,0,0,10,5,20,20,5,225,950
          Czech,5,10,0,10,0,0,5,5,5,10,5,10,0,0,0,0,0,0,0,0,35,0,100,520
          Danish,0,0,0,5,0,0,5,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,30,90
          Dutch,0,15,5,5,0,0,0,0,0,5,5,0,0,5,5,0,0,0,5,0,10,5,60,335
          Estonian,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40
          Finnish,0,0,5,5,0,0,0,0,10,5,5,0,0,0,0,0,0,0,0,0,5,0,40,190
          Flemish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
          Fukien,0,5,5,0,5,0,15,10,5,0,10,0,5,5,5,0,0,0,0,0,0,0,70,305
          German,15,60,35,30,15,0,25,10,15,65,15,15,5,20,15,0,10,5,55,20,80,15,525,1635
          Greek,60,5,20,15,15,10,25,15,15,130,10,15,5,30,25,5,10,5,10,10,5,5,440,840
          Gujarati,0,10,0,10,0,10,25,0,25,5,5,5,0,35,0,0,5,0,60,5,10,5,210,1270
          Hakka,0,0,0,0,0,10,5,0,5,0,0,0,0,20,0,0,0,5,5,0,0,0,55,140
          Hebrew,5,25,15,10,5,0,0,10,0,10,25,5,10,0,15,5,15,0,0,0,10,5,175,365
          Hindi,5,15,5,0,10,30,145,5,40,0,10,10,10,195,35,0,0,5,225,110,35,5,905,5555
          Hungarian,0,15,5,5,5,5,5,5,15,10,15,5,5,10,5,0,5,5,5,5,10,5,145,860
          Ilocano,0,5,0,0,5,15,50,0,5,0,15,15,0,55,15,0,0,0,45,10,0,0,240,490
"          Indo-Iranian languages, n.i.e.",0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,15,70
          Italian,5,25,5,10,100,305,105,0,25,20,10,5,0,150,20,0,0,5,15,50,15,0,890,2020
          Japanese,45,240,35,95,30,40,45,30,45,75,100,40,30,115,20,15,15,5,35,25,325,30,1445,3375
          Khmer (Cambodian),0,0,0,0,5,5,25,5,0,0,0,5,0,15,5,0,0,0,10,10,0,0,80,285
          Korean,165,610,75,65,30,20,60,105,205,65,95,95,115,150,15,20,25,5,35,25,410,40,2415,16095
          Kurdish,0,5,0,0,10,10,10,0,15,5,5,5,0,15,0,0,0,5,5,5,0,0,105,475
          Lao,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,5,5,0,0,0,15,205
          Latvian,0,5,0,0,0,0,5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,15,35
          Lingala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
          Lithuanian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,25
          Macedonian,0,5,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,5,0,15,55
          Malay,10,20,0,0,5,0,5,5,10,5,10,0,15,65,0,5,15,5,0,10,15,0,210,635
          Malayalam,0,0,0,5,0,5,10,0,15,0,0,0,0,10,0,0,0,0,45,10,0,0,105,310
          Maltese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
          Mandarin,990,530,490,170,95,235,400,640,515,205,1040,70,690,825,240,360,135,165,275,355,185,270,8895,35675
          Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,10,0,20,110
          Nepali,0,0,0,0,0,0,15,0,0,5,0,5,0,0,0,0,0,0,15,0,0,0,50,240
"          Niger-Congo languages, n.i.e.",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,55
          Norwegian,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,15,45
          Oromo,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,10,0,10,5,0,30,70
          Panjabi (Punjabi),5,15,5,5,10,50,370,25,225,10,45,15,65,400,70,10,5,15,3225,540,0,0,5120,51410
          Pashto,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,35,0,5,0,45,280
          Persian (Farsi),35,925,15,70,10,45,25,20,30,65,50,25,20,30,10,15,15,10,30,15,375,65,1895,11670
          Polish,5,55,5,25,40,5,40,0,55,10,15,15,0,20,10,0,10,0,10,10,45,5,390,2500
          Portuguese,10,100,5,20,35,35,130,5,25,15,5,10,5,165,20,0,5,5,25,25,95,0,750,1630
          Romanian,10,25,0,20,5,0,10,0,20,10,25,5,10,0,0,0,0,0,0,0,65,5,220,1770
          Rundi (Kirundi),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,20
          Russian,20,250,15,50,15,10,15,10,50,70,100,35,30,35,15,5,10,5,15,10,180,20,960,4860
          Rwanda (Kinyarwanda),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"          Semitic languages, n.i.e.",0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,225
          Serbian,10,220,10,65,15,10,10,10,25,45,25,15,0,30,0,5,5,5,0,5,125,5,640,1890
          Serbo-Croatian,0,40,0,15,5,0,0,0,5,5,10,0,0,0,0,0,0,0,0,0,30,0,110,270
          Shanghainese,0,0,0,5,0,5,5,0,15,5,10,0,0,15,0,0,0,0,5,0,5,0,85,255
"          Sign languages, n.i.e.",5,0,0,0,5,5,5,0,5,0,5,0,0,0,0,0,0,0,5,5,0,0,50,265
          Sindhi,0,10,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,0,5,0,25,285
          Sinhala (Sinhalese),0,0,0,0,0,5,10,0,0,0,0,5,0,10,0,0,0,0,5,0,0,0,35,260
"          Sino-Tibetan languages, n.i.e.",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,315
"          Slavic languages, n.i.e.",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,20
          Slovak,0,15,0,5,0,0,5,0,5,10,0,5,0,0,5,0,0,0,0,0,15,0,60,420
          Slovenian,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,5,25
          Somali,0,0,0,0,5,0,10,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,35,300
          Spanish,45,345,25,105,170,165,175,10,165,130,45,110,10,235,35,15,30,50,195,110,360,25,2560,8345
          Swahili,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,25,95
          Swedish,0,15,5,5,0,5,0,0,0,5,0,5,0,0,0,10,0,0,0,0,10,0,55,120
"          Tagalog (Pilipino, Filipino)",5,45,5,25,85,170,725,10,170,5,180,220,20,860,190,5,5,5,735,375,50,0,3880,11720
          Taiwanese,25,15,35,5,0,20,0,30,20,5,55,0,45,15,20,35,10,5,10,10,10,10,365,1350
          Tamil,0,0,0,5,15,0,90,0,20,0,15,15,5,60,45,0,0,0,220,40,5,0,550,965
          Telugu,0,5,5,0,0,5,0,0,0,0,0,0,0,10,5,0,0,0,5,0,0,0,30,125
          Thai,5,20,5,5,10,0,5,0,0,0,5,10,0,20,10,5,0,0,5,5,20,0,125,295
          Tibetan languages,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,15,45
          Tigrigna,0,5,0,0,5,0,0,0,5,0,0,10,0,5,0,0,0,5,5,0,0,0,35,115
          Turkish,10,55,0,10,0,5,0,5,15,15,5,0,5,10,0,0,5,0,5,0,60,5,195,655
          Ukrainian,0,5,0,5,0,0,5,0,5,5,10,0,5,5,5,0,0,0,0,0,10,5,65,315
          Urdu,0,20,0,5,15,20,10,0,5,5,10,0,0,10,0,0,0,0,95,15,5,0,195,2510
          Vietnamese,0,25,0,5,160,480,880,5,210,5,35,155,10,680,85,5,5,125,280,350,15,0,3525,7010
          Yiddish,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
        Other languages,5,35,5,10,20,10,35,0,20,10,15,10,0,40,10,0,0,10,40,35,45,0,365,1120
    Multiple responses,300,1025,285,360,475,1130,1830,290,1050,385,755,535,370,2475,575,150,120,200,2055,1370,725,145,16600,63970
      English and French,5,55,10,25,25,20,40,5,20,50,25,30,5,25,15,5,10,15,15,15,65,10,475,1260
      English and non-official language,290,945,270,315,440,1090,1770,280,1010,320,715,490,365,2435,550,140,110,180,2030,1340,615,135,15805,61585
      French and non-official language,0,10,5,5,5,10,5,0,10,5,5,10,0,15,5,0,0,5,5,5,25,5,130,350
"      English, French and non-official language",5,20,0,15,10,10,25,5,15,10,15,5,5,15,5,0,0,5,5,15,20,5,195,770
  Detailed language spoken most often at home - Females excluding institutional residents,8530,24650,11160,17025,13945,17165,24095,7835,14885,21945,11965,13340,6640,25725,11360,4445,3900,4695,18350,15585,21090,6705,304215,1170805
    Single responses,8105,23580,10790,16540,13440,15885,22110,7510,13710,21460,10995,12700,6160,22945,10690,4270,3755,4525,16125,14100,20320,6515,285445,1101345
      English,4900,17195,8890,14590,11030,9200,12455,5240,7895,19480,6065,10645,3060,10810,8025,3195,2950,2435,7210,6130,16445,5370,192485,790140
      French,35,200,50,175,100,70,120,35,40,265,50,100,15,55,55,15,35,20,25,15,270,75,1825,4385
      Non-official languages,3175,6180,1850,1780,2310,6615,9535,2235,5775,1715,4880,1960,3085,12080,2605,1050,770,2070,8890,7955,3610,1065,91125,306820
        Selected Aboriginal languages,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,25
          Atikamekw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Cree, n.o.s.",0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,20
          Dene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
          Innu/Montagnais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Inuktitut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Mi'kmaq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Ojibway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Oji-Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Stoney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Selected non-Aboriginal languages,3170,6155,1845,1770,2285,6595,9500,2230,5755,1705,4870,1940,3085,12045,2595,1050,775,2060,8855,7920,3575,1065,90790,305700
"          African languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,85
          Afrikaans,0,5,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,30,260
          Akan (Twi),0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,10,60
          Albanian,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,25,255
          Amharic,0,5,0,0,5,0,5,0,15,0,5,5,0,0,0,0,0,5,5,15,10,0,70,275
          Arabic,0,305,0,30,10,10,20,0,40,10,30,25,15,20,5,5,5,0,25,15,140,0,710,3090
          Armenian,5,10,5,5,5,5,0,0,0,5,5,0,5,0,5,0,0,0,5,0,0,5,40,210
"          Bantu languages, n.i.e.",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
          Bengali,0,5,0,5,0,5,20,0,10,5,15,45,5,20,5,0,0,5,95,30,5,5,275,665
          Berber languages (Kabyle),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
