A,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City),CMA of Vancouver
    Multiple responses,120,640,180,305,295,540,785,100,440,280,325,285,150,1035,295,80,75,140,850,615,455,85,8075,29215
      English and French,10,100,20,60,50,35,55,5,25,80,30,50,10,25,35,10,10,20,25,15,80,20,760,2140
      English and non-official language,95,460,155,215,220,480,700,90,390,180,270,210,130,975,250,70,60,105,810,570,310,70,6800,25485
      French and non-official language,5,50,10,10,20,15,20,0,15,15,5,20,10,25,10,0,5,10,10,25,55,0,345,1040
"      English, French and non-official language",5,25,0,15,10,5,15,0,5,10,15,10,0,10,5,0,5,0,5,5,15,0,170,545
  Detailed mother tongue - Females excluding institutional residents,8535,24650,11155,17025,13945,17165,24095,7835,14885,21940,11965,13345,6640,25720,11355,4445,3900,4695,18350,15590,21095,6705,304215,1170805
    Single responses,8350,24095,10935,16650,13625,16580,23180,7685,14385,21565,11520,12965,6460,24580,11020,4360,3795,4595,17465,14990,20645,6600,295245,1139005
      English,3735,12490,7430,11900,9305,6535,8925,4085,5435,16335,4095,8705,1905,6695,6295,2460,2335,2025,4510,3780,12490,4455,145250,637010
      French,95,465,145,435,275,145,260,90,105,590,115,255,35,125,140,40,55,65,90,50,625,150,4330,12700
      Non-official languages,4525,11145,3365,4315,4045,9905,13995,3510,8845,4635,7305,4010,4520,17755,4585,1855,1405,2505,12865,11160,7535,2000,145665,489300
        Selected Aboriginal languages,0,10,0,5,20,5,5,0,5,0,5,5,0,5,0,0,0,15,5,5,0,0,80,175
          Atikamekw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Cree, n.o.s.",0,10,0,5,10,5,0,0,0,0,0,5,0,5,0,0,0,5,5,5,0,0,55,120
          Dene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
          Innu/Montagnais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Inuktitut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
          Mi'kmaq,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
          Ojibway,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,20,40
          Oji-Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Stoney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
        Selected non-Aboriginal languages,4505,11060,3345,4280,3950,9860,13885,3505,8780,4595,7270,3940,4500,17630,4545,1855,1405,2450,12780,11090,7465,1990,144565,485850
"          African languages, n.i.e.",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,25,240
          Afrikaans,0,20,10,10,5,5,5,0,0,10,0,0,0,5,5,0,0,5,0,0,10,5,105,635
          Akan (Twi),0,0,0,5,5,0,5,0,5,5,0,0,0,5,0,0,0,0,5,5,5,0,40,190
          Albanian,0,10,5,20,5,5,0,0,0,0,5,0,0,5,0,0,0,0,0,5,10,0,60,485
          Amharic,0,10,0,5,5,5,10,5,20,5,0,10,5,10,0,0,0,5,5,15,20,0,140,540
          Arabic,5,385,5,50,25,15,35,5,50,30,30,35,25,35,10,10,5,0,30,20,195,5,1015,4725
          Armenian,10,25,10,10,5,0,0,0,0,10,5,0,5,5,10,5,5,0,5,5,15,5,135,480
"          Bantu languages, n.i.e.",0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,25,195
