road_id,vertex_num,x,y
R_21,4,3142044.000,10079605.000
R_21,5,3142188.250,10079941.000
R_21,6,3143880.750,10083158.000
R_22,1,3143880.750,10083158.000
R_22,2,3144463.750,10084242.000
R_22,3,3144591.750,10084483.000
R_22,4,3144721.000,10084735.625
R_23,1,3134230.500,10099507.000
R_23,2,3134269.750,10099507.000
R_23,3,3134348.500,10099496.000
R_23,4,3134452.500,10099507.000
R_23,5,3134607.000,10099531.000
R_23,6,3134702.500,10099522.000
R_23,7,3135318.500,10099187.000
R_23,8,3135697.250,10098993.000
R_23,9,3135938.250,10098960.000
R_23,10,3136110.500,10099101.000
R_23,11,3136264.250,10099328.000
R_23,12,3136509.750,10099394.000
R_23,13,3137076.500,10099111.000
R_23,14,3138663.500,10098283.000
R_23,15,3138834.500,10098196.000
R_24,1,3138834.500,10098196.000
R_24,2,3139439.500,10097866.000
R_24,3,3141835.750,10096650.000
R_24,4,3142149.500,10096476.000
R_24,5,3142517.500,10096259.000
R_25,1,3142517.500,10096259.000
R_25,2,3142681.250,10096454.000
R_25,3,3142934.500,10096664.000
R_25,4,3143859.500,10097482.000
R_25,5,3143970.750,10097708.000
R_25,6,3144098.250,10098261.000
R_25,7,3144093.500,10099588.000
R_25,8,3144036.488,10100881.000
R_26,1,3138834.500,10098196.000
R_26,2,3139579.750,10099578.000
R_26,3,3139868.000,10100115.000
R_26,4,3140272.672,10100881.000
R_27,1,3127935.043,10078088.000
R_27,2,3128074.500,10078279.000
R_27,3,3128165.500,10078562.000
R_27,4,3128107.750,10078735.000
R_28,1,3139876.250,10083930.000
R_28,2,3140135.000,10083914.000
R_28,3,3140700.500,10084027.000
R_28,4,3141046.500,10084098.000
R_28,5,3141597.500,10084195.000
R_28,6,3142069.500,10084086.000
R_28,7,3142348.500,10083938.000
R_28,8,3142547.750,10083841.000
R_28,9,3143880.750,10083158.000
R_29,1,3143880.750,10083158.000
R_29,2,3144492.750,10082848.000
R_29,3,3144721.000,10082735.357
R_3,1,3128831.500,10090521.000
R_3,2,3128893.500,10090516.000
R_3,3,3129052.250,10090509.000
R_3,4,3129565.500,10090486.000
R_3,5,3130485.750,10090535.000
R_3,6,3130802.750,10090581.000
R_3,7,3130866.500,10090584.000
R_3,8,3131748.750,10090675.000
R_3,9,3132248.250,10090754.000
R_3,10,3132402.250,10090816.000
R_3,11,3132457.500,10090839.000
R_3,12,3132677.500,10090935.000
R_3,13,3132960.000,10091058.000
R_3,14,3133330.500,10091200.000
R_3,15,3133677.500,10091352.000
R_3,16,3133915.000,10091457.000
R_3,17,3134247.500,10091604.000
R_3,18,3135154.250,10091949.000
R_3,19,3135729.500,10092168.000
R_3,20,3135822.000,10092208.000
R_30,1,3124410.250,10085927.000
R_30,2,3124681.000,10086238.000
R_30,3,3124930.750,10086512.000
R_30,4,3125238.250,10086781.000
R_30,5,3125870.500,10087406.000
R_30,6,3126081.500,10087613.000
R_30,7,3126300.500,10087817.000
R_30,8,3126520.500,10088030.000
R_30,9,3126738.750,10088217.000
R_30,10,3126926.000,10088419.000
R_30,11,3127145.500,10088606.000
R_30,12,3127351.500,10088806.000
R_30,13,3127518.500,10088970.000
R_30,14,3127781.500,10089268.000
R_30,15,3127996.500,10089494.000
R_30,16,3128212.500,10089723.000
R_30,17,3128419.500,10089962.000
R_30,18,3128675.000,10090268.000
R_30,19,3128775.250,10090439.000
R_30,20,3128831.500,10090521.000
R_31,1,3128831.500,10090521.000
R_31,2,3128912.500,10090670.000
R_31,3,3128969.000,10090762.000
R_31,4,3129168.500,10091085.000
R_31,5,3129329.250,10091435.000
R_31,6,3129504.000,10091775.000
R_31,7,3129726.000,10092223.000
R_31,8,3129922.250,10092604.000
R_31,9,3129991.750,10092720.000
R_31,10,3130051.750,10092852.000
R_31,11,3130299.250,10093322.000
R_31,12,3130460.500,10093547.000
R_31,13,3130575.000,10093646.000
R_31,14,3130674.750,10093699.000
R_31,15,3130978.750,10093846.000
R_31,16,3131121.250,10093960.000
R_31,17,3131530.000,10094611.000
R_31,18,3131568.250,10094682.000
R_32,1,3131568.250,10094682.000
R_32,2,3132494.500,10096397.000
R_32,3,3132770.000,10096925.000
R_32,4,3133275.750,10097849.000
R_32,5,3133466.250,10098138.000
R_32,6,3133685.250,10098434.000
R_32,7,3133983.000,10098850.000
R_32,8,3134114.250,10099084.000
R_32,9,3134230.500,10099507.000
R_33,1,3134230.500,10099507.000
R_33,2,3134342.000,10099997.000
R_33,3,3134473.500,10100557.000
R_33,4,3134549.244,10100881.000
R_34,1,3125558.000,10098630.000
R_34,2,3125268.750,10098805.000
R_34,3,3124978.250,10098948.000
R_34,4,3124158.500,10099380.000
R_34,5,3124125.000,10099395.679
R_35,1,3125558.000,10098630.000
R_35,2,3125805.000,10098429.000
R_35,3,3126028.500,10098226.000
R_35,4,3126428.000,10097722.000
R_35,5,3126841.500,10097226.000
R_35,6,3127011.500,10097073.000
R_35,7,3127155.750,10096973.000
R_35,8,3127189.000,10096954.000
R_36,1,3127189.000,10096954.000
R_36,2,3127221.000,10096936.000
R_36,3,3127377.750,10096848.000
R_36,4,3127545.500,10096765.000
R_36,5,3128171.750,10096442.000
R_36,6,3128693.500,10096164.000
R_36,7,3129387.250,10095813.000
R_36,8,3130052.250,10095461.000
R_36,9,3130845.750,10095048.000
R_36,10,3131568.250,10094682.000
R_37,1,3131568.250,10094682.000
R_37,2,3131625.000,10094654.000
R_37,3,3133350.250,10093803.000
R_37,4,3134413.750,10093215.000
R_37,5,3134501.500,10093164.000
R_37,6,3134585.000,10093115.000
R_37,7,3135183.500,10092692.000
R_37,8,3135623.750,10092404.000
R_37,9,3135822.000,10092208.000
R_38,1,3127175.663,10078088.000
R_38,2,3127243.000,10078140.000
R_38,3,3127305.500,10078173.000
R_38,4,3127555.250,10078385.000
R_38,5,3128107.750,10078735.000
R_39,1,3128107.750,10078735.000
R_39,2,3128679.500,10079043.000
R_39,3,3129141.500,10079155.000
R_39,4,3129606.500,10079086.000
R_39,5,3130154.500,10078923.000
R_39,6,3130432.750,10078961.000
R_39,7,3130677.750,10079086.000
R_39,8,3130833.500,10079254.000
R_39,9,3130942.000,10079446.000
R_39,10,3130998.500,10079695.000
R_39,11,3130994.750,10080047.000
R_39,12,3130999.500,10080806.000
R_39,13,3131100.500,10081067.000
R_39,14,3131365.500,10081365.000
R_39,15,3131475.500,10081638.000
R_39,16,3131645.000,10082117.000
R_4,1,3135822.000,10092208.000
R_4,2,3137010.500,10092726.000
R_4,3,3137194.500,10092833.000
R_4,4,3138067.500,10093148.000
R_4,5,3138751.500,10093257.000
R_4,6,3139431.000,10093334.000
